District,School,School Name,prop,funds
06,2861,PINES LAKES ELEMENTARY SCHOOL,0.23933209647495363,9741
06,2871,SEA CASTLE ELEMENTARY SCHOOL,0.14691943127962084,9271
06,2881,WELLEBY ELEMENTARY SCHOOL,0.14962593516209477,7897
06,2891,RIVERGLADES ELEMENTARY SCHOOL,0.11973807296538821,7924
06,2942,EVERGLADES ELEMENTARY SCHOOL,0.14980544747081712,8000
06,2961,CHAPEL TRAIL ELEMENTARY SCHOOL,0.17097170971709716,8160
06,2971,SILVER LAKES MIDDLE SCHOOL,0.18142857142857144,9444
06,2981,COUNTRY ISLES ELEMENTARY SCHOOL,0.19371196754563894,8801
06,3001,WALTER C. YOUNG MIDDLE SCHOOL,0.1518418688230009,8050
06,3011,MARJORY STONEMAN DOUGLAS HIGH SCHOOL,0.09445958219800181,7085
06,3031,RIVERSIDE ELEMENTARY SCHOOL,0.1480978260869565,8585
06,3041,CORAL PARK ELEMENTARY SCHOOL,0.21052631578947367,9660
06,3051,FOREST GLEN MIDDLE SCHOOL,0.16248153618906944,7693
06,3061,SANDPIPER ELEMENTARY SCHOOL,0.20516962843295639,10363
06,3081,SILVER RIDGE ELEMENTARY SCHOOL,0.18357487922705315,8210
06,3091,WINSTON PARK ELEMENTARY SCHOOL,0.10652353426919901,7757
06,3101,LYONS CREEK MIDDLE SCHOOL,0.13217213114754098,6874
06,3111,COUNTRY HILLS ELEMENTARY SCHOOL,0.15807962529274006,7794
06,3121,QUIET WATERS ELEMENTARY SCHOOL,0.11322314049586776,7902
06,3131,HAWKES BLUFF ELEMENTARY SCHOOL,0.21187427240977882,8773
06,3151,TEQUESTA TRACE MIDDLE SCHOOL,0.13188854489164087,6669
06,3171,PARK SPRINGS ELEMENTARY SCHOOL,0.22587064676616916,8659
06,3181,INDIAN TRACE ELEMENTARY SCHOOL,0.13547486033519554,8782
06,3191,EMBASSY CREEK ELEMENTARY SCHOOL,0.13123993558776167,7154
06,3221,CHARLES DREW ELEMENTARY SCHOOL,0.14068441064638784,10142
06,3291,THURGOOD MARSHALL ELEMENTARY SCHOOL,0.15473441108545036,11625
06,3301,ENDEAVOUR PRIMARY LEARNING CENTER,0.21614583333333334,11317
06,3311,PALM COVE ELEMENTARY SCHOOL,0.19701986754966888,9582
06,3321,VIRGINIA SHUMAN YOUNG ELEMENTARY SCHOOL,0.12719298245614036,8387
06,3331,SILVER TRAIL MIDDLE SCHOOL,0.17927743694614862,7579
06,3371,SILVER LAKES ELEMENTARY SCHOOL,0.2324455205811138,12280
06,3391,CHARLES W FLANAGAN HIGH SCHOOL,0.09845176657403731,6770
06,3401,SAWGRASS ELEMENTARY SCHOOL,0.16263310745401743,8309
06,3431,SAWGRASS SPRINGS MIDDLE SCHOOL,0.15557404326123128,7491
06,3441,EAGLE RIDGE ELEMENTARY SCHOOL,0.19019836639439908,8100
06,3461,EAGLE POINT ELEMENTARY SCHOOL,0.11024182076813656,7273
06,3471,INDIAN RIDGE MIDDLE SCHOOL,0.16221662468513853,7039
