District Name,School Name,Lat,Long,Total Students,Total SWD,e,s,m,sc,te,ts,tm,tsc
LAKE,WINDY HILL MIDDLE SCHOOL,28.51405,-81.70478,1391,202,54,34,60,17,747,336,798,259
LEE,BONITA SPRINGS MIDDLE CENTER FOR THE ARTS,26.34661,-81.78587,894,130,30,17,40,6,444,214,556,128
LEE,CALOOSA MIDDLE SCHOOL,26.64303,-81.94236,870,128,23,7,26,9,353,128,443,116
LEE,CAPE CORAL HIGH SCHOOL,26.60894,-81.97586,1608,157,13,7,10,6,485,255,277,238
LEE,CHALLENGER MIDDLE SCHOOL,26.62195,-81.98877,1092,139,29,15,42,14,646,255,755,203
LEE,CYPRESS LAKE HIGH SCHOOL,26.54066,-81.90162,1611,218,23,25,12,15,348,256,254,214
LEE,CYPRESS LAKE MIDDLE SCHOOL,26.54215,-81.90224,900,102,22,13,33,11,560,230,653,199
LEE,DIPLOMAT MIDDLE SCHOOL,26.68538,-81.94988,864,108,25,19,27,9,490,200,546,153
LEE,DUNBAR HIGH SCHOOL,26.63304,-81.83434,1979,236,17,13,16,15,264,188,257,199
LEE,EAST LEE COUNTY HIGH SCHOOL,26.55904,-81.60214,1962,238,6,15,17,3,278,217,259,175
LEE,ESTERO HIGH SCHOOL,26.42209,-81.79553,1644,160,15,17,13,7,431,335,262,253
LEE,FORT MYERS HIGH SCHOOL,26.62772,-81.87764,1944,193,24,17,33,14,660,388,348,352
LEE,FORT MYERS MIDDLE ACADEMY,26.61979,-81.86515,618,86,13,12,17,3,163,108,213,43
LEE,GULF MIDDLE SCHOOL,26.58634,-82.01237,806,70,8,5,20,3,465,193,569,157
LEE,HARNS MARSH MIDDLE SCHOOL,26.63622,-81.69415,1337,162,21,19,39,7,502,271,612,122
LEE,IDA S. BAKER HIGH SCHOOL,26.58691,-82.01732,1809,244,18,22,29,12,418,272,326,255
LEE,ISLAND COAST HIGH SCHOOL,26.72806,-81.93018,1693,215,10,15,13,16,267,180,206,282
LEE,LEHIGH ACRES MIDDLE SCHOOL,26.59862,-81.63209,1356,176,20,18,27,6,535,273,571,126
LEE,LEHIGH SENIOR HIGH SCHOOL,26.62233,-81.72080,2291,258,23,15,18,22,529,352,338,344
LEE,LEXINGTON MIDDLE SCHOOL,26.49775,-81.91370,1118,133,28,17,40,6,637,285,738,175
LEE,MARINER HIGH SCHOOL,26.66305,-82.00320,1557,198,16,14,11,12,352,222,172,208
